SSD_Temp,AIR_Temp
43.0,36.0
43.0,37.0
41.0,37.0
44.0,38.0
51.0,37.0
52.0,37.0
52.0,37.0
52.0,37.0
52.0,37.0
52.0,37.0
52.0,37.0
52.0,37.0
52.0,37.0
52.0,37.0
52.0,37.0
52.0,37.0
52.0,37.0
52.0,37.0
52.0,37.0
52.0,37.0
52.0,37.0
52.0,37.0
52.0,37.0
52.0,37.0
52.0,37.0
52.0,37.0
52.0,37.0
52.0,37.0
52.0,37.0
52.0,37.0
52.0,38.0
52.0,38.0
52.0,38.0
52.0,38.0
52.0,38.0
52.0,38.0
52.0,38.0
52.0,38.0
52.0,38.0
52.0,38.0
52.0,38.0
52.0,38.0
52.0,38.0
52.0,38.0
52.0,38.0
52.0,38.0
52.0,38.0
52.0,38.0
52.0,38.0
52.0,38.0
52.0,37.0
52.0,37.0
52.0,37.0
52.0,38.0
52.0,38.0
52.0,38.0
52.0,38.0
52.0,38.0
52.0,38.0
52.0,38.0
52.0,38.0
52.0,38.0
52.0,38.0
53.0,38.0
53.0,38.0
53.0,38.0
53.0,38.0
53.0,39.0
53.0,39.0
53.0,39.0
53.0,39.0
54.0,39.0
53.0,39.0
53.0,39.0
53.0,39.0
53.0,39.0
53.0,39.0
53.0,39.0
53.0,39.0
53.0,39.0
53.0,39.0
53.0,39.0
53.0,39.0
53.0,39.0
53.0,39.0
52.0,39.0
46.0,40.0
45.0,41.0
46.0,40.0
45.0,37.0
45.0,36.0
45.0,35.0
58.0,35.0
59.0,35.0
60.0,35.0
60.0,35.0
60.0,34.0
60.0,34.0
60.0,34.0
60.0,34.0
60.0,34.0
60.0,34.0
60.0,34.0
60.0,34.0
60.0,34.0
60.0,34.0
60.0,34.0
60.0,34.0
60.0,34.0
60.0,34.0
60.0,34.0
60.0,34.0
60.0,34.0
60.0,34.0
60.0,34.0
60.0,34.0
60.0,34.0
60.0,34.0
60.0,34.0
60.0,34.0
60.0,34.0
60.0,34.0
60.0,34.0
60.0,34.0
60.0,34.0
60.0,34.0
60.0,34.0
60.0,34.0
60.0,34.0
60.0,34.0
53.0,34.0
52.0,33.0
51.0,32.0
51.0,32.0
51.0,32.0
51.0,32.0
51.0,32.0
52.0,31.0
52.0,31.0
52.0,31.0
52.0,31.0
52.0,31.0
52.0,31.0
52.0,31.0
52.0,31.0
52.0,31.0
52.0,31.0
52.0,31.0
52.0,31.0
52.0,31.0
52.0,31.0
52.0,31.0
52.0,31.0
52.0,31.0
52.0,31.0
51.0,31.0
51.0,31.0
52.0,31.0
51.0,31.0
51.0,31.0
50.0,32.0
50.0,32.0
81.0,32.0
72.0,33.0
71.0,36.0
77.0,37.0
77.0,36.0
79.0,39.0
65.0,41.0
