read_BW,read_IOPS,write_BW,write_IOPS,time
6510.52,1627.54,6725.99,1681.44,0-0
6403.0,1600.63,6613.16,1653.16,0--10
6621.16,1654.89,6820.11,1704.68,0--20
6719.47,1679.42,6907.58,1726.47,0--30
6672.95,1668.21,6869.58,1717.37,0--40
6579.32,1644.79,6784.42,1696.05,0--50
6697.68,1673.74,6890.95,1722.05,-1-0
6413.26,1603.11,6610.37,1652.47,-1--10
6695.95,1673.53,6885.79,1721.0,-1--20
6784.68,1696.16,6982.16,1745.53,-1--30
6808.32,1701.84,6999.0,1749.53,-1--40
6550.11,1637.32,6753.89,1688.37,-1--50
6829.79,1706.89,7026.05,1756.0,-2-0
6486.32,1621.42,6685.42,1671.21,-2--10
6544.42,1635.84,6752.37,1687.84,-2--20
6456.58,1613.64,6641.66,1659.9,-2--30
6634.11,1658.37,6826.42,1706.53,-2--40
